Time,Phuong,year,month,quarter,month_sin,month_cos,GiaTri_log,GiaTri,GiaTri_log_lag1,GiaTri_log_lag2,GiaTri_log_lag3,GiaTri_log_roll3,GiaTri_log_roll6
2022-02-01, Phường Cô Giang,2022,2,1,0.8660254037844386,0.5000000000000001,19.732044545915358,371123163.74211246,19.4690637212915,19.65568542700982,19.75703641874951,19.62726185568361,19.66813664434847
2022-03-01, Phường Cô Giang,2022,3,1,1.0,6.123233995736766e-17,19.726042776869754,368902439.0243902,19.732044545915358,19.4690637212915,19.65568542700982,19.618931231405558,19.625979326144222
2022-04-01, Phường Cô Giang,2022,4,2,0.8660254037844387,-0.4999999999999998,19.84142784282655,414021242.3143057,19.726042776869754,19.732044545915358,19.4690637212915,19.642383681358872,19.63524319525029
2022-05-01, Phường Cô Giang,2022,5,2,0.49999999999999994,-0.8660254037844387,19.659151082038886,345033157.52328,19.84142784282655,19.726042776869754,19.732044545915358,19.76650505520389,19.69688345544375
2022-06-01, Phường Cô Giang,2022,6,2,1.2246467991473532e-16,-1.0,19.404689325359403,267515835.75207248,19.659151082038886,19.84142784282655,19.726042776869754,19.74220723391173,19.680569232658645
2022-07-01, Phường Cô Giang,2022,7,3,-0.4999999999999997,-0.8660254037844388,19.791972544774058,394043765.9703876,19.404689325359403,19.659151082038886,19.84142784282655,19.63508941674161,19.638736549050243
2022-08-01, Phường Cô Giang,2022,8,3,-0.8660254037844384,-0.5000000000000004,19.924593313210963,449925832.7295346,19.791972544774058,19.404689325359403,19.659151082038886,19.618604317390783,19.692554686297335
2022-09-01, Phường Cô Giang,2022,9,3,-1.0,-1.8369701987210297e-16,19.56038118664277,312583184.91425604,19.924593313210963,19.791972544774058,19.404689325359403,19.707085061114807,19.72464614751327
2022-10-01, Phường Cô Giang,2022,10,4,-0.8660254037844386,0.5000000000000001,19.551440554186275,309800949.5419728,19.56038118664277,19.924593313210963,19.791972544774058,19.758982348209262,19.697035882475436
2022-11-01, Phường Cô Giang,2022,11,4,-0.5000000000000004,0.8660254037844384,19.70360429643527,360717006.6084902,19.551440554186275,19.56038118664277,19.924593313210963,19.678805018013335,19.64870466770206
